Case,ActivityCode,Start,End
119,A_5,2023-01-02 06:34:28,2023-01-02 07:27:28
119,A_4,2023-01-02 06:49:28,2023-01-02 07:31:28
119,A_9,2023-01-02 07:04:28,2023-01-02 07:25:28
119,A_2,2023-01-02 07:19:28,2023-01-02 08:17:28
119,A_9,2023-01-02 07:34:28,2023-01-02 08:21:28
119,A_9,2023-01-02 07:49:28,2023-01-02 08:21:28
119,A_8,2023-01-02 08:04:28,2023-01-02 08:42:28
119,A_9,2023-01-02 08:19:28,2023-01-02 08:38:28
119,A_4,2023-01-02 08:34:28,2023-01-02 08:59:28
119,A_5,2023-01-02 08:49:28,2023-01-02 09:01:28
112,A_3,2023-01-02 14:23:18,2023-01-02 14:58:18
112,A_10,2023-01-02 14:38:18,2023-01-02 15:29:18
112,A_5,2023-01-02 14:53:18,2023-01-02 15:06:18
112,A_8,2023-01-02 15:08:18,2023-01-02 15:41:18
112,A_1,2023-01-02 15:23:18,2023-01-02 15:49:18
112,A_7,2023-01-02 15:38:18,2023-01-02 16:07:18
112,A_5,2023-01-02 15:53:18,2023-01-02 16:35:18
112,A_7,2023-01-02 16:08:18,2023-01-02 16:38:18
112,A_4,2023-01-02 16:23:18,2023-01-02 17:17:18
112,A_7,2023-01-02 16:38:18,2023-01-02 17:30:18
112,A_5,2023-01-02 16:53:18,2023-01-02 17:25:18
112,A_8,2023-01-02 17:08:18,2023-01-02 17:47:18
65,A_6,2023-01-02 20:53:19,2023-01-02 21:17:19
65,A_4,2023-01-02 21:08:19,2023-01-02 21:55:19
65,A_8,2023-01-02 21:23:19,2023-01-02 22:00:19
65,A_10,2023-01-02 21:38:19,2023-01-02 22:06:19
65,A_2,2023-01-02 21:53:19,2023-01-02 22:23:19
65,A_2,2023-01-02 22:08:19,2023-01-02 23:08:19
65,A_6,2023-01-02 22:23:19,2023-01-02 23:06:19
65,A_8,2023-01-02 22:38:19,2023-01-02 23:28:19
65,A_1,2023-01-02 22:53:19,2023-01-02 23:05:19
65,A_8,2023-01-02 23:08:19,2023-01-02 23:26:19
65,A_6,2023-01-02 23:23:19,2023-01-02 23:50:19
65,A_4,2023-01-02 23:38:19,2023-01-03 00:17:19
65,A_9,2023-01-02 23:53:19,2023-01-03 00:44:19
65,A_3,2023-01-03 00:08:19,2023-01-03 01:02:19
65,A_4,2023-01-03 00:23:19,2023-01-03 00:43:19
65,A_9,2023-01-03 00:38:19,2023-01-03 01:20:19
178,A_3,2023-01-03 00:47:47,2023-01-03 01:34:47
65,A_4,2023-01-03 00:53:19,2023-01-03 01:27:19
178,A_7,2023-01-03 01:02:47,2023-01-03 01:54:47
65,A_6,2023-01-03 01:08:19,2023-01-03 01:37:19
178,A_6,2023-01-03 01:17:47,2023-01-03 02:14:47
178,A_9,2023-01-03 01:32:47,2023-01-03 01:50:47
178,A_6,2023-01-03 01:47:47,2023-01-03 01:58:47
178,A_2,2023-01-03 02:02:47,2023-01-03 02:38:47
178,A_8,2023-01-03 02:17:47,2023-01-03 03:05:47
178,A_2,2023-01-03 02:32:47,2023-01-03 03:14:47
178,A_4,2023-01-03 02:47:47,2023-01-03 03:34:47
127,A_10,2023-01-03 21:15:47,2023-01-03 22:12:47
127,A_1,2023-01-03 21:30:47,2023-01-03 22:20:47
127,A_3,2023-01-03 21:45:47,2023-01-03 22:25:47
127,A_1,2023-01-03 22:00:47,2023-01-03 22:14:47
127,A_7,2023-01-03 22:15:47,2023-01-03 22:32:47
127,A_9,2023-01-03 22:30:47,2023-01-03 22:59:47
127,A_5,2023-01-03 22:45:47,2023-01-03 23:12:47
127,A_8,2023-01-03 23:00:47,2023-01-03 23:49:47
127,A_8,2023-01-03 23:15:47,2023-01-03 23:54:47
127,A_5,2023-01-03 23:30:47,2023-01-04 00:12:47
127,A_2,2023-01-03 23:45:47,2023-01-04 00:43:47
127,A_3,2023-01-04 00:00:47,2023-01-04 00:12:47
127,A_6,2023-01-04 00:15:47,2023-01-04 00:59:47
127,A_4,2023-01-04 00:30:47,2023-01-04 01:30:47
127,A_1,2023-01-04 00:45:47,2023-01-04 01:13:47
127,A_1,2023-01-04 01:00:47,2023-01-04 01:31:47
127,A_2,2023-01-04 01:15:47,2023-01-04 02:04:47
127,A_8,2023-01-04 01:30:47,2023-01-04 02:17:47
127,A_5,2023-01-04 01:45:47,2023-01-04 02:10:47
127,A_1,2023-01-04 02:00:47,2023-01-04 02:55:47
131,A_4,2023-01-04 16:08:35,2023-01-04 16:59:35
131,A_3,2023-01-04 16:23:35,2023-01-04 16:46:35
131,A_9,2023-01-04 16:38:35,2023-01-04 17:13:35
131,A_8,2023-01-04 16:53:35,2023-01-04 17:05:35
131,A_3,2023-01-04 17:08:35,2023-01-04 18:07:35
131,A_7,2023-01-04 17:23:35,2023-01-04 18:07:35
131,A_1,2023-01-04 17:38:35,2023-01-04 17:51:35
131,A_10,2023-01-04 17:53:35,2023-01-04 18:51:35
131,A_1,2023-01-04 18:08:35,2023-01-04 18:18:35
131,A_5,2023-01-04 18:23:35,2023-01-04 18:35:35
131,A_5,2023-01-04 18:38:35,2023-01-04 19:19:35
131,A_4,2023-01-04 18:53:35,2023-01-04 19:23:35
131,A_7,2023-01-04 19:08:35,2023-01-04 19:50:35
131,A_5,2023-01-04 19:23:35,2023-01-04 20:08:35
125,A_4,2023-01-05 00:00:51,2023-01-05 00:43:51
125,A_3,2023-01-05 00:15:51,2023-01-05 00:59:51
125,A_5,2023-01-05 00:30:51,2023-01-05 01:09:51
125,A_1,2023-01-05 00:45:51,2023-01-05 01:11:51
125,A_3,2023-01-05 01:00:51,2023-01-05 01:50:51
125,A_2,2023-01-05 01:15:51,2023-01-05 01:52:51
125,A_4,2023-01-05 01:30:51,2023-01-05 01:53:51
88,A_7,2023-01-05 21:19:45,2023-01-05 21:37:45
88,A_5,2023-01-05 21:34:45,2023-01-05 22:09:45
88,A_4,2023-01-05 21:49:45,2023-01-05 22:46:45
88,A_4,2023-01-05 22:04:45,2023-01-05 22:53:45
88,A_7,2023-01-05 22:19:45,2023-01-05 22:30:45
88,A_7,2023-01-05 22:34:45,2023-01-05 23:26:45
88,A_10,2023-01-05 22:49:45,2023-01-05 23:44:45
88,A_9,2023-01-05 23:04:45,2023-01-05 23:29:45
88,A_7,2023-01-05 23:19:45,2023-01-05 23:43:45
88,A_7,2023-01-05 23:34:45,2023-01-05 23:55:45
108,A_4,2023-01-07 03:11:28,2023-01-07 03:33:28
165,A_8,2023-01-07 03:16:24,2023-01-07 04:03:24
108,A_7,2023-01-07 03:26:28,2023-01-07 04:10:28
165,A_5,2023-01-07 03:31:24,2023-01-07 03:44:24
108,A_3,2023-01-07 03:41:28,2023-01-07 04:00:28
165,A_1,2023-01-07 03:46:24,2023-01-07 04:26:24
108,A_5,2023-01-07 03:56:28,2023-01-07 04:26:28
165,A_10,2023-01-07 04:01:24,2023-01-07 04:56:24
108,A_1,2023-01-07 04:11:28,2023-01-07 04:45:28
165,A_7,2023-01-07 04:16:24,2023-01-07 04:27:24
108,A_5,2023-01-07 04:26:28,2023-01-07 05:13:28
165,A_8,2023-01-07 04:31:24,2023-01-07 05:18:24
108,A_8,2023-01-07 04:41:28,2023-01-07 04:54:28
165,A_6,2023-01-07 04:46:24,2023-01-07 05:14:24
108,A_5,2023-01-07 04:56:28,2023-01-07 05:27:28
165,A_10,2023-01-07 05:01:24,2023-01-07 05:39:24
108,A_2,2023-01-07 05:11:28,2023-01-07 05:56:28
165,A_9,2023-01-07 05:16:24,2023-01-07 05:53:24
108,A_2,2023-01-07 05:26:28,2023-01-07 05:40:28
165,A_3,2023-01-07 05:31:24,2023-01-07 06:30:24
108,A_1,2023-01-07 05:41:28,2023-01-07 05:57:28
108,A_10,2023-01-07 05:56:28,2023-01-07 06:23:28
108,A_5,2023-01-07 06:11:28,2023-01-07 06:39:28
108,A_10,2023-01-07 06:26:28,2023-01-07 06:38:28
108,A_7,2023-01-07 06:41:28,2023-01-07 07:29:28
108,A_1,2023-01-07 06:56:28,2023-01-07 07:31:28
108,A_3,2023-01-07 07:11:28,2023-01-07 07:28:28
108,A_6,2023-01-07 07:26:28,2023-01-07 07:54:28
146,A_9,2023-01-08 01:56:02,2023-01-08 02:27:02
146,A_9,2023-01-08 02:11:02,2023-01-08 02:28:02
146,A_9,2023-01-08 02:26:02,2023-01-08 02:52:02
146,A_3,2023-01-08 02:41:02,2023-01-08 03:08:02
146,A_4,2023-01-08 02:56:02,2023-01-08 03:10:02
146,A_3,2023-01-08 03:11:02,2023-01-08 04:05:02
146,A_2,2023-01-08 03:26:02,2023-01-08 04:07:02
146,A_10,2023-01-08 03:41:02,2023-01-08 04:38:02
146,A_10,2023-01-08 03:56:02,2023-01-08 04:31:02
146,A_4,2023-01-08 04:11:02,2023-01-08 05:06:02
146,A_3,2023-01-08 04:26:02,2023-01-08 04:55:02
146,A_6,2023-01-08 04:41:02,2023-01-08 04:55:02
146,A_6,2023-01-08 04:56:02,2023-01-08 05:39:02
146,A_3,2023-01-08 05:11:02,2023-01-08 05:43:02
103,A_8,2023-01-12 15:39:45,2023-01-12 16:33:45
103,A_9,2023-01-12 15:54:45,2023-01-12 16:37:45
103,A_10,2023-01-12 16:09:45,2023-01-12 16:43:45
103,A_2,2023-01-12 16:24:45,2023-01-12 16:39:45
103,A_6,2023-01-12 16:39:45,2023-01-12 17:31:45
103,A_3,2023-01-12 16:54:45,2023-01-12 17:17:45
103,A_9,2023-01-12 17:09:45,2023-01-12 18:07:45
103,A_6,2023-01-12 17:24:45,2023-01-12 18:14:45
103,A_4,2023-01-12 17:39:45,2023-01-12 18:30:45
103,A_6,2023-01-12 17:54:45,2023-01-12 18:07:45
103,A_2,2023-01-12 18:09:45,2023-01-12 18:26:45
103,A_3,2023-01-12 18:24:45,2023-01-12 18:51:45
103,A_9,2023-01-12 18:39:45,2023-01-12 19:27:45
103,A_5,2023-01-12 18:54:45,2023-01-12 19:20:45
75,A_3,2023-01-15 23:06:31,2023-01-15 23:30:31
75,A_3,2023-01-15 23:21:31,2023-01-16 00:16:31
75,A_10,2023-01-15 23:36:31,2023-01-16 00:17:31
75,A_1,2023-01-15 23:51:31,2023-01-16 00:50:31
75,A_6,2023-01-16 00:06:31,2023-01-16 00:24:31
75,A_6,2023-01-16 00:21:31,2023-01-16 00:54:31
75,A_7,2023-01-16 00:36:31,2023-01-16 01:19:31
75,A_6,2023-01-16 00:51:31,2023-01-16 01:07:31
75,A_1,2023-01-16 01:06:31,2023-01-16 01:24:31
75,A_10,2023-01-16 01:21:31,2023-01-16 01:38:31
75,A_9,2023-01-16 01:36:31,2023-01-16 01:55:31
75,A_1,2023-01-16 01:51:31,2023-01-16 02:40:31
75,A_8,2023-01-16 02:06:31,2023-01-16 02:54:31
136,A_6,2023-01-17 14:21:50,2023-01-17 15:01:50
136,A_10,2023-01-17 14:36:50,2023-01-17 14:52:50
136,A_10,2023-01-17 14:51:50,2023-01-17 15:44:50
136,A_2,2023-01-17 15:06:50,2023-01-17 15:52:50
136,A_2,2023-01-17 15:21:50,2023-01-17 15:34:50
136,A_1,2023-01-17 15:36:50,2023-01-17 16:36:50
136,A_10,2023-01-17 15:51:50,2023-01-17 16:04:50
136,A_4,2023-01-17 16:06:50,2023-01-17 16:34:50
136,A_9,2023-01-17 16:21:50,2023-01-17 16:31:50
136,A_7,2023-01-17 16:36:50,2023-01-17 17:01:50
136,A_5,2023-01-17 16:51:50,2023-01-17 17:41:50
136,A_10,2023-01-17 17:06:50,2023-01-17 18:01:50
136,A_3,2023-01-17 17:21:50,2023-01-17 18:04:50
136,A_8,2023-01-17 17:36:50,2023-01-17 18:10:50
136,A_5,2023-01-17 17:51:50,2023-01-17 18:05:50
136,A_4,2023-01-17 18:06:50,2023-01-17 18:57:50
136,A_7,2023-01-17 18:21:50,2023-01-17 18:50:50
136,A_3,2023-01-17 18:36:50,2023-01-17 19:24:50
136,A_4,2023-01-17 18:51:50,2023-01-17 19:46:50
136,A_2,2023-01-17 19:06:50,2023-01-17 19:45:50
199,A_8,2023-01-18 12:40:45,2023-01-18 12:53:45
199,A_2,2023-01-18 12:55:45,2023-01-18 13:16:45
199,A_1,2023-01-18 13:10:45,2023-01-18 13:26:45
199,A_3,2023-01-18 13:25:45,2023-01-18 14:15:45
199,A_8,2023-01-18 13:40:45,2023-01-18 14:28:45
199,A_8,2023-01-18 13:55:45,2023-01-18 14:54:45
199,A_4,2023-01-18 14:10:45,2023-01-18 15:01:45
199,A_7,2023-01-18 14:25:45,2023-01-18 15:03:45
199,A_8,2023-01-18 14:40:45,2023-01-18 14:59:45
199,A_10,2023-01-18 14:55:45,2023-01-18 15:23:45
135,A_9,2023-01-19 03:10:30,2023-01-19 04:05:30
135,A_2,2023-01-19 03:25:30,2023-01-19 04:01:30
135,A_6,2023-01-19 03:40:30,2023-01-19 04:32:30
135,A_9,2023-01-19 03:55:30,2023-01-19 04:25:30
135,A_2,2023-01-19 04:10:30,2023-01-19 05:06:30
135,A_7,2023-01-19 04:25:30,2023-01-19 05:17:30
135,A_8,2023-01-19 04:40:30,2023-01-19 05:24:30
135,A_9,2023-01-19 04:55:30,2023-01-19 05:47:30
135,A_8,2023-01-19 05:10:30,2023-01-19 05:57:30
135,A_10,2023-01-19 05:25:30,2023-01-19 06:05:30
135,A_5,2023-01-19 05:40:30,2023-01-19 06:40:30
135,A_5,2023-01-19 05:55:30,2023-01-19 06:06:30
135,A_3,2023-01-19 06:10:30,2023-01-19 06:29:30
135,A_3,2023-01-19 06:25:30,2023-01-19 06:38:30
135,A_4,2023-01-19 06:40:30,2023-01-19 07:25:30
135,A_2,2023-01-19 06:55:30,2023-01-19 07:15:30
161,A_8,2023-01-22 12:21:09,2023-01-22 12:55:09
161,A_5,2023-01-22 12:36:09,2023-01-22 13:19:09
161,A_8,2023-01-22 12:51:09,2023-01-22 13:32:09
161,A_2,2023-01-22 13:06:09,2023-01-22 14:04:09
161,A_3,2023-01-22 13:21:09,2023-01-22 14:03:09
161,A_8,2023-01-22 13:36:09,2023-01-22 13:56:09
161,A_9,2023-01-22 13:51:09,2023-01-22 14:38:09
161,A_7,2023-01-22 14:06:09,2023-01-22 14:29:09
161,A_7,2023-01-22 14:21:09,2023-01-22 14:31:09
