[2023-12-27 12:05:32,689] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-12-27 12:05:32,869] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2023-12-27 12:05:32,879] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2023-12-27 12:05:33,218] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2023-12-27 12:05:33,312] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 51 partitions (state.change.logger)
[2023-12-27 12:05:33,354] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,378] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,393] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,404] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,417] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,428] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,446] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,469] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,484] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,504] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,545] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,566] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,592] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,612] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,626] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,640] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,653] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,664] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,675] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,688] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,700] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,711] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,729] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,740] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,759] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,771] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,783] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,793] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,809] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,822] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,844] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,856] INFO [Broker id=0] Leader logsmining_data-0 with topic id Some(95zTF1zlSRabplTkz4-uOw) starts at leader epoch 0 from offset 12 with partition epoch 0, high watermark 12, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,856] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,867] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,878] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-27 12:05:33,888] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(RvYNybjmSvyUIb1uCJDyhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
